<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RI.MOEXCN;D;20151019;000000;6355.3100000;6378.6800000;6306.7400000;6324.7800000;1328989710
RI.MOEXCN;D;20151020;000000;6325.7200000;6358.2400000;6310.8500000;6321.1700000;1150367696
RI.MOEXCN;D;20151021;000000;6306.9600000;6331.9000000;6213.9800000;6326.5300000;1545629453
RI.MOEXCN;D;20151022;000000;6321.0300000;6346.7300000;6270.5300000;6339.4900000;1085926742
RI.MOEXCN;D;20151023;000000;6350.3500000;6371.9500000;6307.0100000;6354.9400000;2205174776
RI.MOEXCN;D;20151026;000000;6342.8100000;6373.6100000;6320.9300000;6344.5900000;2652549988
RI.MOEXCN;D;20151027;000000;6347.5600000;6452.0900000;6303.6200000;6452.0900000;3014968918
RI.MOEXCN;D;20151028;000000;6439.6100000;6495.9000000;6414.7300000;6470.0800000;2574385001
RI.MOEXCN;D;20151029;000000;6467.6500000;6504.6600000;6421.9200000;6479.5200000;1415440750
RI.MOEXCN;D;20151030;000000;6478.5800000;6481.4700000;6424.0100000;6454.3600000;985237088
RI.MOEXCN;D;20151102;000000;6460.9200000;6507.0200000;6446.9600000;6477.7600000;972657508
RI.MOEXCN;D;20151103;000000;6478.3700000;6555.0400000;6478.3100000;6540.3800000;1635233565
RI.MOEXCN;D;20151105;000000;6548.9200000;6597.4500000;6504.8300000;6516.3900000;1767251984
RI.MOEXCN;D;20151106;000000;6521.2000000;6580.7100000;6485.3300000;6552.4900000;1495805395
RI.MOEXCN;D;20151109;000000;6551.7800000;6610.3000000;6533.3600000;6585.3300000;699824006
RI.MOEXCN;D;20151110;000000;6593.0400000;6593.0400000;6508.3500000;6541.6000000;927655484
RI.MOEXCN;D;20151111;000000;6545.4800000;6562.0000000;6488.7900000;6498.4100000;1059250650
RI.MOEXCN;D;20151112;000000;6498.6900000;6519.1200000;6469.5900000;6492.2600000;1423752697
RI.MOEXCN;D;20151113;000000;6492.6500000;6521.3200000;6436.8200000;6485.3900000;2377233412
RI.MOEXCN;D;20151116;000000;6494.2000000;6593.4500000;6494.2000000;6499.8500000;1351665160
RI.MOEXCN;D;20151117;000000;6516.8000000;6612.1500000;6516.8000000;6567.9600000;1960053029
RI.MOEXCN;D;20151118;000000;6575.7400000;6654.2500000;6555.2600000;6555.2600000;1543676631
RI.MOEXCN;D;20151119;000000;6582.7700000;6653.6300000;6569.4700000;6569.4700000;2516022899
RI.MOEXCN;D;20151120;000000;6574.0600000;6690.8400000;6567.6400000;6620.2100000;2663550285
RI.MOEXCN;D;20151123;000000;6630.0500000;6760.1700000;6601.6000000;6746.9200000;3392864229
RI.MOEXCN;D;20151124;000000;6747.0000000;6779.9700000;6641.1100000;6662.6100000;3214095362
RI.MOEXCN;D;20151125;000000;6668.6400000;6758.0100000;6666.3200000;6726.1500000;1948159434
RI.MOEXCN;D;20151126;000000;6748.2400000;6763.6400000;6702.0300000;6712.2200000;1187685406
RI.MOEXCN;D;20151127;000000;6710.5200000;6735.5200000;6684.6400000;6694.8100000;1766623112
RI.MOEXCN;D;20151130;000000;6693.7300000;6774.0700000;6668.3100000;6686.0400000;1719926564
RI.MOEXCN;D;20151201;000000;6710.1700000;6782.1300000;6699.3900000;6770.9300000;1104745489
RI.MOEXCN;D;20151202;000000;6775.8600000;6832.3200000;6758.3000000;6819.7800000;1835384262
RI.MOEXCN;D;20151203;000000;6818.0800000;6924.1300000;6799.3000000;6904.0800000;2174519620
RI.MOEXCN;D;20151204;000000;6908.0900000;6932.5900000;6797.0300000;6868.5200000;2495539876
RI.MOEXCN;D;20151207;000000;6869.7800000;6902.3800000;6810.9700000;6899.4700000;1096757507
RI.MOEXCN;D;20151208;000000;6895.9400000;6898.8100000;6774.0100000;6841.9700000;2377979747
RI.MOEXCN;D;20151209;000000;6842.1500000;6845.0800000;6737.6500000;6747.6300000;3022004502
RI.MOEXCN;D;20151210;000000;6762.2400000;6790.0800000;6727.9800000;6744.1100000;1896822790
RI.MOEXCN;D;20151211;000000;6739.7200000;6760.0100000;6610.2700000;6637.8100000;1801910866
RI.MOEXCN;D;20151214;000000;6633.5800000;6678.0500000;6585.6200000;6637.4700000;1671572013
RI.MOEXCN;D;20151215;000000;6638.9600000;6789.7400000;6638.9600000;6780.1100000;1944162992
RI.MOEXCN;D;20151216;000000;6780.8500000;6831.9400000;6738.9200000;6744.5100000;888655797
RI.MOEXCN;D;20151217;000000;6745.7400000;6873.3700000;6745.7400000;6873.3700000;1628146660
RI.MOEXCN;D;20151218;000000;6976.5000000;6979.3700000;6750.2300000;6771.1100000;3407204871
RI.MOEXCN;D;20151221;000000;6773.6500000;6804.3700000;6729.2900000;6748.4100000;1294977424
RI.MOEXCN;D;20151222;000000;6752.1800000;6808.7200000;6671.1600000;6671.1600000;714718869
RI.MOEXCN;D;20151223;000000;6695.1700000;6747.6000000;6662.2500000;6677.0900000;1137336553
RI.MOEXCN;D;20151224;000000;6679.3100000;6721.5000000;6659.0000000;6684.9800000;468124402
RI.MOEXCN;D;20151225;000000;6694.2400000;6733.0600000;6628.9800000;6647.5700000;288151858
RI.MOEXCN;D;20151228;000000;6651.8900000;6708.5400000;6649.6100000;6689.3400000;437270487
RI.MOEXCN;D;20151229;000000;6691.8900000;6749.6100000;6679.1700000;6729.3200000;979189372
RI.MOEXCN;D;20151230;000000;6723.5900000;6821.2300000;6718.1800000;6804.0800000;1244873938
RI.MOEXCN;D;20160104;000000;6801.1300000;6830.8400000;6745.8600000;6802.4800000;1059210967
RI.MOEXCN;D;20160105;000000;6799.9300000;6860.8300000;6784.2000000;6822.2200000;1370893654
RI.MOEXCN;D;20160106;000000;6810.7100000;6887.5200000;6805.4000000;6884.8300000;603793641
RI.MOEXCN;D;20160111;000000;6859.1000000;6859.1000000;6665.9000000;6688.5600000;1859260015
RI.MOEXCN;D;20160112;000000;6685.1300000;6685.1300000;6609.9400000;6625.7100000;2101362446
RI.MOEXCN;D;20160113;000000;6628.7900000;6715.2400000;6621.0800000;6643.6100000;1418020163
RI.MOEXCN;D;20160114;000000;6640.4100000;6640.4100000;6524.8300000;6559.2900000;1948457145
RI.MOEXCN;D;20160115;000000;6567.1400000;6579.6900000;6329.8200000;6406.2600000;2869893567
RI.MOEXCN;D;20160118;000000;6392.0700000;6467.7400000;6276.7500000;6461.3900000;1611502138
RI.MOEXCN;D;20160119;000000;6472.7100000;6569.9600000;6472.7100000;6549.9900000;1882182826
RI.MOEXCN;D;20160120;000000;6537.1100000;6537.1100000;6423.8200000;6534.3900000;2652418865
RI.MOEXCN;D;20160121;000000;6538.3300000;6734.6400000;6535.9800000;6696.6300000;2958702020
