The International Stock Exchange (TISE); XS0795156719; 11.11.2016); 27.08.2021); Итальянская ФБ - EuroTLX; XS1822383094; SCFL0623; GAZP0837;;;;The International Stock Exchange (TISE)
Швейцарская ФБ; XS0863439161; 19.08.2016); 21.09.2015); ALFA0430; XS1589106910; PLZL0223; XS0191754729;;;;Швейцарская ФБ
Берлинская биржа; XS0833264335; Франкфуртская ФБ; 13.11.2020); CHMF0924; XS0304274599; XS1603335610; XS0559915961;;;;Берлинская биржа
Сингапурская ФБ; XS0886632685; Берлинская биржа; 05.11.2015); GAZP0326; GAZP0325; EVRZ0323; ALFA0421;;;;Сингапурская ФБ
РТС; XS0885873322; 18.05.2016); 15.11.2022); STLF0623; XS1964558339; GAZP0327; XS0935311240;;;;РТС
; XS2407287452;;;;;;;;;;
; XS2413860409;;;;;;;;;;
; XS2429208486;;;;;;;;;;
; XS2423361190;;;;;;;;;;
; XS2439218640;;;;;;;;;;
; XS1642546581;;;;;;;;;;
; XS1820831607;;;;;;;;;;
; XS1998798984;;;;;;;;;;
; XS2147899228;;;;;;;;;;
; XS2200171762;;;;;;;;;;
; XS2252533075;;;;;;;;;;
; XS1637911451;;;;;;;;;;
; XS1857100413;;;;;;;;;;
; XS1894115705;;;;;;;;;;
; XS1949598855;;;;;;;;;;
; XS1960651641;;;;;;;;;;
; XS2038610445;;;;;;;;;;
; XS2088720524;;;;;;;;;;
; XS2093710494;;;;;;;;;;
; XS2110115487;;;;;;;;;;
; XS2152970393;;;;;;;;;;
; XS2152970476;;;;;;;;;;
; XS2185962664;;;;;;;;;;
; XS2198210424;;;;;;;;;;
; XS2196311380;;;;;;;;;;
; XS2212032911;;;;;;;;;;
; XS2211859439;;;;;;;;;;
; XS2230258035;;;;;;;;;;
; XS2252527424;;;;;;;;;;
; XS2276567604;;;;;;;;;;
; XS2305047339;;;;;;;;;;
; XS2328381756;;;;;;;;;;
; 04.06.2021);;;;;;;;;;
; 21.06.2021);;;;;;;;;;
; XS2377117697;;;;;;;;;;
